E 423,Octenyl succinic acid modified gum arabic,"Flavouring-oil emulsions used in categories 05.1 Cocoa and Chocolate products as covered by Directive 2000/36/EC, 05.2: Other confectionery including breath freshening microsweets, 05.4: Decorations, coatings and fillings, except fruit based fillings covered by category 4.2.4 and in category 06.3: Breakfast cereals.",300 mg/kg in the final food
E 423,Octenyl succinic acid modified gum arabic,Flavouring-oil emulsions used in category 01.7.5: Processed cheese.,120 mg/kg in the final food
E 423,Octenyl succinic acid modified gum arabic,Flavouring-oil emulsions used in category 05.3: Chewing gum.,60 mg/kg in the final food
E 423,Octenyl succinic acid modified gum arabic,"Flavouring-oil emulsions used in categories 01.8: Dairy analogues, including beverage whiteners; 04.2.5: Jam, jellies and marmalades and similar products; 04.2.5.4: Nut butters and nut spreads; 08.3: Meat products; 12.5: Soups and broths, 14.1.5.2: Other, only instant coffee and tea and in cereal based ready-to-eat-dishes.",240 mg/kg in the final food
E 423,Octenyl succinic acid modified gum arabic,Flavouring-oil emulsions used in category 10.2: Processed eggs and egg products.,140 mg/kg in the final food
E 423,Octenyl succinic acid modified gum arabic,"Flavouring-oil emulsions used in categories 14.1.4: Flavoured drinks, only non carbonated flavoured drinks containing fruit juices; 14.1.2: Fruit juices as defined by Directive 2001/112/EC and vegetable juices, only vegetable juices and in category 12.6: Sauces, only gravies and sweet sauces.",400 mg/kg in the final food
E 423,Octenyl succinic acid modified gum arabic,Flavouring-oil emulsions used in category 15: Ready-to-eat savouries and snacks.,440 mg/kg in the final food
E 425,Konjac,All flavourings,quantum satis
E 432 - E 436,Polysorbates (Table 4 of Part 6),"All flavourings, except liquid smoke flavourings and flavourings based on spice oleoresins (2)",10 000mg/kg in flavourings
E 432 - E 436,Polysorbates (Table 4 of Part 6),Foodstuffs containing liquid smoke flavourings and flavourings based on spice oleoresins,1 000mg/kg in final food
E 459,Beta-cyclodextrin,Encapsulated flavourings in:,Encapsulated flavourings in:
E 459,Beta-cyclodextrin,flavoured teas and flavoured powdered instant drinks,500 mg/l in final food
E 459,Beta-cyclodextrin,flavoured snacks,1 000mg/kg in foodstuffs as consumed or as reconstituted according to the instructions of the manufacturer
E 473,Sucrose esters of fatty acids,Flavourings for water based clear flavoured drinks that belong to category 14.1.4,"15 000mg/kg in flavourings, 30 mg/l in the final food"
E 551,Silicon dioxide,All flavourings,50 000mg/kg in flavourings
E 900,Dimethyl polysiloxane,All flavourings,10 mg/kg in flavourings
E 901,Beeswax,Flavourings in non-alcoholic flavoured drinks,200 mg/l in flavoured drinks
E 1505,Triethyl citrate,All flavourings,"3 000mg/kg from all sources in foodstuffs as consumed or as reconstituted according to the instructions of the manufacturer; individually or in combination. In the case of beverages, with the exception of cream liqueurs, the maximum level of E 1520 shall be 1 000mg/l from all sources"
E 1517,Glyceryl diacetate (diacetin),All flavourings,"3 000mg/kg from all sources in foodstuffs as consumed or as reconstituted according to the instructions of the manufacturer; individually or in combination. In the case of beverages, with the exception of cream liqueurs, the maximum level of E 1520 shall be 1 000mg/l from all sources"
E 1518,Glyceryl triacetate (triacetin),All flavourings,"3 000mg/kg from all sources in foodstuffs as consumed or as reconstituted according to the instructions of the manufacturer; individually or in combination. In the case of beverages, with the exception of cream liqueurs, the maximum level of E 1520 shall be 1 000mg/l from all sources"
E 1520,"Propane-1, 2-diol (propylene glycol)",All flavourings,"3 000mg/kg from all sources in foodstuffs as consumed or as reconstituted according to the instructions of the manufacturer; individually or in combination. In the case of beverages, with the exception of cream liqueurs, the maximum level of E 1520 shall be 1 000mg/l from all sources"
E 1519,Benzyl alcohol,Flavourings for:,Flavourings for:
E 1519,Benzyl alcohol,"liqueurs, aromatised wines, aromatised wine-based drinks and aromatised wine-products cocktails",100 mg/l in final food
E 1519,Benzyl alcohol,confectionery including chocolate and fine bakery wares,250 mg/kg from all sources in foodstuffs as consumed or as reconstituted according to instruction of the manufacturer
