E number of the food additive,Name of the food additive,Maximum level,Nutrient to which the food additive may be added,Can be used as a carrier?
E 501,Potassium carbonates,quantum satis,All nutrients,Yes
E 503,Ammonium carbonates,quantum satis,All nutrients,Yes
E 504,Magnesium carbonates,quantum satis,All nutrients,Yes
E 507,Hydrochloric acid,quantum satis,All nutrients,Yes
E 508,Potassium chloride,quantum satis,All nutrients,
E 509,Calcium chloride,quantum satis,All nutrients,
E 511,Magnesium chloride,quantum satis,All nutrients,
E 513,Sulphuric acid,quantum satis,All nutrients,
E 514,Sodium sulphates,quantum satis,All nutrients,
E 515,Potassium sulphates,quantum satis,All nutrients,
E 516,Calcium sulphate,quantum satis,All nutrients,
E 524,Sodium hydroxide,quantum satis,All nutrients,
E 525,Potassium hydroxide,quantum satis,All nutrients,
E 526,Calcium hydroxide,quantum satis,All nutrients,
E 527,Ammonium hydroxide,quantum satis,All nutrients,
E 528,Magnesium hydroxide,quantum satis,All nutrients,
E 529,Calcium oxide,quantum satis,All nutrients,Yes
E 530,Magnesium oxide,quantum satis,All nutrients,Yes
"E 551,
 E 552","Silicon dioxide
 Calcium silicate",50 000mg/kg in the dry powdered preparation (singly or in combination),In dry powdered preparations of all nutrients,
"E 551,
 E 552","Silicon dioxide
 Calcium silicate",10 000mg/kg in the preparation (E 551 only),In potassium chloride preparations used in salt substitutes,
E 554,Sodium aluminium silicate,15 000mg/kg in the preparation,In fat soluble vitamin preparations,
E 570,Fatty acids,quantum satis,All nutrients except nutrients containing unsaturated fatty acids,
E 574,Gluconic acid,quantum satis,All nutrients,
E 575,Glucono-delta-lactone,quantum satis,All nutrients,
E 576,Sodium gluconate,quantum satis,All nutrients,
E 577,Potassium gluconate,quantum satis,All nutrients,
E 578,Calcium gluconate,quantum satis,All nutrients,
E 640,Glycine and its sodium salt,quantum satis,All nutrients,
E 900,Dimethyl polysiloxane,"200 mg/kg in the preparation, 0,2 mg/l in final food",In preparations of beta-carotene and lycopene,
E 901,"Beeswax, white and yellow",quantum satis,All nutrients,"Yes, only as a carrier"
E 938,Argon,quantum satis,All nutrients,
E 939,Helium,quantum satis,All nutrients,
E 941,Nitrogen,quantum satis,All nutrients,
E 942,Nitrous oxide,quantum satis,All nutrients,
E 948,Oxygen,quantum satis,All nutrients,
E 949,Hydrogen,quantum satis,All nutrients,
E 953,Isomalt,quantum satis,All nutrients,"Yes, only as a carrier"
E 965,Maltitol,quantum satis,All nutrients,"Yes, only as a carrier"
E 966,Lactitol,quantum satis,All nutrients,"Yes, only as a carrier"
E 967,Xylitol,quantum satis,All nutrients,"Yes, only as a carrier"
E 968,Erythritol,quantum satis,All nutrients,"Yes, only as a carrier"
E 1103,Invertase,quantum satis,All nutrients,
E 1200,Polydextrose,quantum satis,All nutrients,Yes
E 1404,Oxidised starch,quantum satis,All nutrients,Yes
E 1410,Monostarch phosphate,quantum satis,All nutrients,Yes
E 1412,Distarch phosphate,quantum satis,All nutrients,Yes
E 1413,Phosphated distarch phosphate,quantum satis,All nutrients,Yes
E 1414,Acetylated distarch phosphate,quantum satis,All nutrients,Yes
E 1420,Acetylated starch,quantum satis,All nutrients,Yes
E 1422,Acetylated distarch adipate,quantum satis,All nutrients,Yes
E 1440,Hydroxy propyl starch,quantum satis,All nutrients,Yes
E 1442,Hydroxy propyl distarch phosphate,quantum satis,All nutrients,Yes
E 1450,Starch sodium octenyl succinate,quantum satis,All nutrients,Yes
E 1451,Acetylated oxidised starch,quantum satis,All nutrients,Yes
E 1452,Starch Aluminium Octenyl Succinate,35 000mg/kg in final food,In food supplements as defined in Directive 2002/46/EC due to its use in vitamin preparations for encapsulation purposes only,Yes
E 1518,Glyceryl triacetate (triacetin),'(1),All nutrients,"Yes, only as a carrier"
E 1520 (1),"Propane-1, 2-diol (propylene glycol)",1 000mg/kg in final food (as carry-over),All nutrients,"Yes, only as a carrier"
