Category number,E-number,Name,Maximum level (mg/l or mg/kg as appropriate),Footnotes,Restrictions/exceptions,Category name
01.4,E 104,Quinoline Yellow,10,"The total quantity of E 104, E 110, E 124 and the colours in Group III shall not exceed the maximum listed for Group III",,Flavoured fermented milk products including heat-treated products
01.4,E 110,Sunset Yellow FCF/Orange Yellow S,5,"The total quantity of E 104, E 110, E 124 and the colours in Group III shall not exceed the maximum listed for Group III",,Flavoured fermented milk products including heat-treated products
01.4,E 124,"Ponceau 4R, Cochineal Red A",5,"The total quantity of E 104, E 110, E 124 and the colours in Group III shall not exceed the maximum listed for Group III",,Flavoured fermented milk products including heat-treated products
01.4,E 160b,"Annatto, Bixin, Norbixin",10,,,Flavoured fermented milk products including heat-treated products
01.4,E 160d,Lycopene,30,,,Flavoured fermented milk products including heat-treated products
01.4,E 200-213,Sorbic acid - potassium sorbate; Benzoic acid - benzoates,300,The additives may be added individually or in combination ; The maximum level is applicable to the sum and the levels are expressed as the free acid,only non-heat-treated dairy based desserts,Flavoured fermented milk products including heat-treated products
01.4,E 297,Fumaric acid,4 000,,only fruit-flavoured desserts,Flavoured fermented milk products including heat-treated products
01.4,E 338-452,"Phosphoric acid - phosphates - di-, tri- and polyphosphates",3 000,The additives may be added individually or in combination ; The maximum level is expressed as P2O5,,Flavoured fermented milk products including heat-treated products
01.4,E 355-357,Adipic acid - adipates,1 000,,only fruit-flavoured desserts,Flavoured fermented milk products including heat-treated products
01.4,E 363,Succinic acid,6 000,,,Flavoured fermented milk products including heat-treated products
01.4,E 416,Karaya gum,6 000,,,Flavoured fermented milk products including heat-treated products
01.4,E 427,Cassia gum,2 500,,,Flavoured fermented milk products including heat-treated products
01.4,E 432-436,Polysorbates,1 000,,,Flavoured fermented milk products including heat-treated products
01.4,E 473-474,Sucrose esters of fatty acids - sucroglycerides,5 000,,,Flavoured fermented milk products including heat-treated products
01.4,E 475,Polyglycerol esters of fatty acids,2 000,,,Flavoured fermented milk products including heat-treated products
01.4,E 477,"Propane-1,2-diol esters of fatty acids",5 000,,,Flavoured fermented milk products including heat-treated products
01.4,E 481-482,Stearoyl-2-lactylates,5 000,,,Flavoured fermented milk products including heat-treated products
01.4,E 483,Stearyl tartrate,5 000,,,Flavoured fermented milk products including heat-treated products
01.4,E 491-495,Sorbitan esters,5 000,,,Flavoured fermented milk products including heat-treated products
01.4,E 950,Acesulfame K,350,,only energy-reduced products or with no added sugar,Flavoured fermented milk products including heat-treated products
01.4,E 951,Aspartame,1 000,,only energy-reduced products or with no added sugar,Flavoured fermented milk products including heat-treated products
01.4,E 952,Cyclamic acid and its Na and Ca salts,250,Maximum usable levels are expressed in free acid,only energy-reduced products or with no added sugar,Flavoured fermented milk products including heat-treated products
01.4,E 954,"Saccharin and its Na, K and Ca salts",100,Maximum usable levels are expressed in free imide,only energy-reduced products or with no added sugar,Flavoured fermented milk products including heat-treated products
01.4,E 955,Sucralose,400,,only energy-reduced products or with no added sugar,Flavoured fermented milk products including heat-treated products
01.4,E 957,Thaumatin,5,,only as flavour enhancer,Flavoured fermented milk products including heat-treated products
01.4,E 959,Neohesperidine DC,50,,only energy-reduced products or with no added sugar,Flavoured fermented milk products including heat-treated products
01.4,E 960,Steviol glycosides,100,Expressed as steviol equivalents,only energy-reduced products or with no added sugar,Flavoured fermented milk products including heat-treated products
01.4,E 962,Salt of aspartame-acesulfame,350,"Limits are expressed as (a): acesulfame K equivalent or (b) aspartame equivalent ; The maximum usable levels are derived from the maximum usable levels for its constituent parts, aspartame (E 951): and acesulfame-K (E 950) ; The levels for both E 951 and E 950 are not to be exceeded by use of the salt of aspartame-acesulfame, either alone or in combination with E 950 or E 951",only energy-reduced products or with no added sugar,Flavoured fermented milk products including heat-treated products
01.4,E 961,Neotame,32,,only energy-reduced products or with no added sugar,Flavoured fermented milk products including heat-treated products
01.4,E 969,Advantame,10,,only energy-reduced products or with no added sugar,Flavoured fermented milk products including heat-treated products
01.5,Group II,Colours at quantum satis,quantum satis,,except unflavoured products,Dehydrated milk as defined by Directive 2001/114/EC
01.5,E 300,Ascorbic acid,quantum satis,,,Dehydrated milk as defined by Directive 2001/114/EC
01.5,E 301,Sodium ascorbate,quantum satis,,,Dehydrated milk as defined by Directive 2001/114/EC
01.5,E 304,Fatty acid esters of ascorbic acid,quantum satis,,,Dehydrated milk as defined by Directive 2001/114/EC
01.5,E 310-320,"Propyl gallate, TBHQ and BHA",200,The additives may be added individually or in combination,only milk powder for vending machines,Dehydrated milk as defined by Directive 2001/114/EC
01.5,E 322,Lecithins,quantum satis,,,Dehydrated milk as defined by Directive 2001/114/EC
01.5,E 331,Sodium citrates,quantum satis,,,Dehydrated milk as defined by Directive 2001/114/EC
01.5,E 332,Potassium citrates,quantum satis,,,Dehydrated milk as defined by Directive 2001/114/EC
01.5,E 338-452,"Phosphoric acid - phosphates - di-, tri- and polyphosphates",1 000,The additives may be added individually or in combination ; The maximum level is expressed as P2O5,only partly dehydrated milk with less than 28 % solids,Dehydrated milk as defined by Directive 2001/114/EC
01.5,E 338-452,"Phosphoric acid - phosphates - di-, tri- and polyphosphates",1 500,The additives may be added individually or in combination ; The maximum level is expressed as P2O5,only partly dehydrated milk with more than 28 % solids,Dehydrated milk as defined by Directive 2001/114/EC
01.5,E 338-452,"Phosphoric acid - phosphates - di-, tri- and polyphosphates",2 500,The additives may be added individually or in combination ; The maximum level is expressed as P2O5,only dried milk and dried skimmed milk,Dehydrated milk as defined by Directive 2001/114/EC
01.5,E 392,Extracts of rosemary,200,Expressed on fat basis ; As the sum of carnosol and carnosic acid,only milk powder for vending machines,Dehydrated milk as defined by Directive 2001/114/EC
01.5,E 392,Extracts of rosemary,30,As the sum of carnosol and carnosic acid,only dried milk for manufacturing of ice cream,Dehydrated milk as defined by Directive 2001/114/EC
01.5,E 407,Carrageenan,quantum satis,,,Dehydrated milk as defined by Directive 2001/114/EC
01.5,E 500(ii),Sodium hydrogen carbonate,quantum satis,,,Dehydrated milk as defined by Directive 2001/114/EC
01.5,E 501(ii),Potassium hydrogen carbonate,quantum satis,,,Dehydrated milk as defined by Directive 2001/114/EC
01.5,E 509,Calcium chloride,quantum satis,,,Dehydrated milk as defined by Directive 2001/114/EC
01.6.1,E 401,Sodium alginate,quantum satis,,,Unflavoured pasteurised cream (excluding reduced fat creams)
01.6.1,E 402,Potassium alginate,quantum satis,,,Unflavoured pasteurised cream (excluding reduced fat creams)
01.6.1,E 407,Carrageenan,quantum satis,,,Unflavoured pasteurised cream (excluding reduced fat creams)
01.6.1,E 466,"Sodium carboxy methyl cellulose, Cellulose gum",quantum satis,,,Unflavoured pasteurised cream (excluding reduced fat creams)
01.6.1,E 471,Mono- and diglycerides of fatty acids,quantum satis,,,Unflavoured pasteurised cream (excluding reduced fat creams)
01.6.2,E 406,Agar,quantum satis,,,Unflavoured live fermented cream products and substitute products with a fat content of less than 20 %
01.6.2,E 407,Carrageenan,quantum satis,,,Unflavoured live fermented cream products and substitute products with a fat content of less than 20 %
01.6.2,E 410,Locust bean gum,quantum satis,,,Unflavoured live fermented cream products and substitute products with a fat content of less than 20 %
01.6.2,E 412,Guar gum,quantum satis,,,Unflavoured live fermented cream products and substitute products with a fat content of less than 20 %
01.6.2,E 415,Xanthan gum,quantum satis,,,Unflavoured live fermented cream products and substitute products with a fat content of less than 20 %
01.6.2,E 440,Pectins,quantum satis,,,Unflavoured live fermented cream products and substitute products with a fat content of less than 20 %
01.6.2,E 460,Cellulose,quantum satis,,,Unflavoured live fermented cream products and substitute products with a fat content of less than 20 %
01.6.2,E 466,"Sodium carboxy methyl cellulose, Cellulose gum",quantum satis,,,Unflavoured live fermented cream products and substitute products with a fat content of less than 20 %
01.6.2,E 471,Mono- and diglycerides of fatty acids,quantum satis,,,Unflavoured live fermented cream products and substitute products with a fat content of less than 20 %
01.6.2,E 1404,Oxidised starch,quantum satis,,,Unflavoured live fermented cream products and substitute products with a fat content of less than 20 %
01.6.2,E 1410,Monostarch phosphate,quantum satis,,,Unflavoured live fermented cream products and substitute products with a fat content of less than 20 %
01.6.2,E 1412,Distarch phosphate,quantum satis,,,Unflavoured live fermented cream products and substitute products with a fat content of less than 20 %
01.6.2,E 1413,Phosphated distarch phosphate,quantum satis,,,Unflavoured live fermented cream products and substitute products with a fat content of less than 20 %
01.6.2,E 1414,Acetylated distarch phosphate,quantum satis,,,Unflavoured live fermented cream products and substitute products with a fat content of less than 20 %
01.6.2,E 1420,Acetylated starch,quantum satis,,,Unflavoured live fermented cream products and substitute products with a fat content of less than 20 %
01.6.2,E 1422,Acetylated distarch adipate,quantum satis,,,Unflavoured live fermented cream products and substitute products with a fat content of less than 20 %
01.6.2,E 1440,Hydroxy propyl starch,quantum satis,,,Unflavoured live fermented cream products and substitute products with a fat content of less than 20 %
01.6.2,E 1442,Hydroxy propyl distarch phosphate,quantum satis,,,Unflavoured live fermented cream products and substitute products with a fat content of less than 20 %
01.6.2,E 1450,Starch sodium octenyl succinate,quantum satis,,,Unflavoured live fermented cream products and substitute products with a fat content of less than 20 %
01.6.2,E 1451,Acetylated oxidised starch,quantum satis,,,Unflavoured live fermented cream products and substitute products with a fat content of less than 20 %
01.6.3,Group I,Additives,,,,Other creams
01.6.3,Group II,Colours at quantum satis,quantum satis,,only flavoured creams,Other creams
01.6.3,Group III,Colours with combined maximum limit,150,,only flavoured creams,Other creams
01.6.3,E 104,Quinoline Yellow,10,"The total quantity of E 104, E 110, E 124 and the colours in Group III shall not exceed the maximum listed for Group III",Only flavoured creams,Other creams
01.6.3,E 110,Sunset Yellow FCF/Orange Yellow S,5,"The total quantity of E 104, E 110, E 124 and the colours in Group III shall not exceed the maximum listed for Group III",Only flavoured creams,Other creams
01.6.3,E 124,"Ponceau 4R, Cochineal Red A",5,"The total quantity of E 104, E 110, E 124 and the colours in Group III shall not exceed the maximum listed for Group III",Only flavoured creams,Other creams
01.6.3,E 234,Nisin,10,,only clotted cream,Other creams
01.6.3,E 338-452,"Phosphoric acid - phosphates - di-, tri- and polyphosphates",5 000,The additives may be added individually or in combination ; The maximum level is expressed as P2O5,"only sterilised, pasteurised, UHT cream and whipped cream",Other creams
01.6.3,E 473-474,Sucrose esters of fatty acids - sucroglycerides,5 000,The additives may be added individually or in combination,only sterilised cream and sterilised cream with reduced fat content,Other creams
01.7.1,Group I,Additives,,,except mozzarella,Unripened cheese excluding products falling in category 16
01.7.1,Group II,Colours at quantum satis,quantum satis,,only flavoured unripened cheese,Unripened cheese excluding products falling in category 16
01.7.1,Group III,Colours with combined maximum limit,150,,only flavoured unripened cheese,Unripened cheese excluding products falling in category 16
01.7.1,E 200-202,Sorbic acid - potassium sorbate,1 000,The additives may be added individually or in combination ; The maximum level is applicable to the sum and the levels are expressed as the free acid,,Unripened cheese excluding products falling in category 16
01.7.1,E 234,Nisin,10,,only mascarpone,Unripened cheese excluding products falling in category 16
01.7.1,E 260,Acetic acid,quantum satis,,only mozzarella,Unripened cheese excluding products falling in category 16
01.7.1,E 270,Lactic acid,quantum satis,,only mozzarella,Unripened cheese excluding products falling in category 16
01.7.1,E 330,Citric acid,quantum satis,,only mozzarella,Unripened cheese excluding products falling in category 16
01.7.1,E 338-452,"Phosphoric acid - phosphates - di-, tri- and polyphosphates",2 000,The additives may be added individually or in combination ; The maximum level is expressed as P2O5,except mozzarella,Unripened cheese excluding products falling in category 16
01.7.1,E 460(ii),Powdered cellulose,quantum satis,,only grated and sliced mozzarella,Unripened cheese excluding products falling in category 16
01.7.1,E 575,Glucono-delta-lactone,quantum satis,,only mozzarella,Unripened cheese excluding products falling in category 16
01.7.2,E 1105,Lysozyme,quantum satis,,,Ripened cheese
01.7.2,"
                           
                         E 120","Carminic acid, Carmine ",125,Maximum limit for aluminium coming from aluminium lakes of ,only red marbled cheese and red pesto cheese,Ripened cheese
01.7.2,E 140,"Chlorophylls, Chlorophyllins",quantum satis,,only sage Derby cheese,Ripened cheese
01.7.2,E 141,Copper complexes of chlorophylls and chlorophyllins,quantum satis,,"only sage Derby cheese, green and red pesto cheese, wasabi cheese and green marbled herb cheese",Ripened cheese
01.7.2,E 153,Vegetable carbon,quantum satis,,only morbier cheese,Ripened cheese
01.7.2,E 160a,Carotenes,quantum satis,,"only ripened orange, yellow and broken-white cheese",Ripened cheese
01.7.2,E 160b,"Annatto, Bixin, Norbixin",15,,"only ripened orange, yellow and broken-white cheese and red and green pesto cheese",Ripened cheese
01.7.2,E 160b,"Annatto, Bixin, Norbixin",50,,only red Leicester cheese,Ripened cheese
01.7.2,E 160b,"Annatto, Bixin, Norbixin",35,,only Mimolette cheese,Ripened cheese
01.7.2,E 160c,"Paprika extract, capsanthin, capsorubin",quantum satis,,"only ripened orange, yellow and broken-white cheese and red pesto cheese",Ripened cheese
01.7.2,E 163,Anthocyanins,quantum satis,,only red marbled cheese,Ripened cheese
01.7.2,E 170,Calcium carbonate,quantum satis,,,Ripened cheese
01.7.2,E 200-202,Sorbic acid - potassium sorbate,1 000,The additives may be added individually or in combination ; The maximum level is applicable to the sum and the levels are expressed as the free acid,"only cheese, pre-packed, sliced and cut; layered cheese and cheese with added foods",Ripened cheese
01.7.2,E 200-202,Sorbic acid - potassium sorbate,quantum satis,,only ripened products surface treatment,Ripened cheese
01.7.2,E 234,Nisin,"12,5",This substance may be present naturally in certain cheeses as a result of fermentation processes,,Ripened cheese
01.7.2,E 235,Natamycin,1 mg/dm2 surface (not present at a depth of 5 mm),,"only for the external treatment of uncut hard, semi-hard and semi-soft cheese",Ripened cheese
01.7.2,E 239,Hexamethylene tetramine,"25 mg/kg residual amount, expressed as formaldehyde",,only Provolone cheese,Ripened cheese
01.7.2,E 251-252,Nitrates,150,In the cheese milk or equivalent level if added after removal of whey and addition of water,"only hard, semi-hard and semi-soft cheese",Ripened cheese
01.7.2,E 280-283,Propionic acid - propionates,quantum satis,,surface treatment only,Ripened cheese
01.7.2,E 460,Powdered cellulose,quantum satis,,only sliced and grated ripened cheese,Ripened cheese
01.7.2,E 500(ii),Sodium hydrogen carbonate,quantum satis,,only sour milk cheese,Ripened cheese
01.7.2,E 504,Magnesium carbonates,quantum satis,,,Ripened cheese
01.7.2,E 509,Calcium chloride,quantum satis,,,Ripened cheese
01.7.2,E 551-559,Silicon dioxide - silicates,10 000,The additives may be added individually or in combination,"only sliced or grated cheese hard and semi-hard cheese
 Period of application:
 until 31 January 2014",Ripened cheese
01.7.2,E 551-553,Silicon dioxide - silicates,10 000,The additives may be added individually or in combination,"only sliced or grated cheese hard and semi-hard cheese
 Period of application:
 from 1 February 2014",Ripened cheese
01.7.2,E 575,Glucono-delta-lactone,quantum satis,,,Ripened cheese
01.7.3,Group II,Colours at quantum satis,quantum satis,,,Edible cheese rind
01.7.3,Group III,Colours with combined maximum limit,quantum satis,,"Period of application:
 until 31 July 2014",Edible cheese rind
01.7.3,Group III,Colours with combined maximum limit,quantum satis,Maximum limit for aluminium coming from aluminium lakes of ,"Period of application:
 from 1 August 2014",Edible cheese rind
01.7.3,E 104,Quinoline Yellow,10,The total quantity of E 104 and the colours in Group III shall not exceed the maximum listed for Group III,,Edible cheese rind
01.7.3,E 160d,Lycopene,30,,,Edible cheese rind
01.7.3,E 180,Litholrubine BK,quantum satis,,"Period of application:
 until 31 July 2014",Edible cheese rind
01.7.3,E 180,Litholrubine BK,quantum satis,Maximum limit for aluminium coming from aluminium lakes of ,"Period of application:
 from 1 August 2014",Edible cheese rind
01.7.3,E 160b,"Annatto, Bixin, Norbixin",20,,,Edible cheese rind
01.7.4,Group II,Colours at quantum satis,quantum satis,,,Whey cheese
01.7.4,E 200-202,Sorbic acid - potassium sorbate,1 000,The additives may be added individually or in combination ; The maximum level is applicable to the sum and the levels are expressed as the free acid,"only cheese, pre-packed, sliced; layered cheese and cheese with added foods",Whey cheese
01.7.4,E 251-252,Nitrates,150,In the cheese milk or equivalent level if added after removal of whey and addition of water,"only cheese milk of hard, semi-hard and semi-soft cheese",Whey cheese
01.7.4,E 260,Acetic acid,quantum satis,,,Whey cheese
01.7.4,E 270,Lactic acid,quantum satis,,,Whey cheese
01.7.4,E 330,Citric acid,quantum satis,,,Whey cheese
01.7.4,E 460(ii),Powdered cellulose,quantum satis,,only grated and sliced cheese,Whey cheese
01.7.4,E 575,Glucono-delta-lactone,quantum satis,,,Whey cheese
01.7.5,Group I,Additives,,,,Processed cheese
01.7.5,Group II,Colours at quantum satis,quantum satis,,only flavoured processed cheese,Processed cheese
01.7.5,E 100,Curcumin,100,"Maximum individually or for the combination of E 100, E 102, E 120, E 122, E 160e and E 161b",only flavoured processed cheese,Processed cheese
01.7.5,E 102,Tartrazine,100,"Maximum individually or for the combination of E 100, E 102, E 120, E 122, E 160e and E 161b",only flavoured processed cheese,Processed cheese
01.7.5,"
                           
                         E 120","Carminic acid, Carmine ",100,"Maximum individually or for the combination of E 100, E 102, E 120, E 122, E 160e and E 161b","only flavoured processed cheese
 Period of application:
 until 31 July 2014",Processed cheese
01.7.5,"
                           
                         E 120","Carminic acid, Carmine ",100,"Maximum individually or for the combination of E 100, E 102, E 120, E 122, E 160e and E 161b ; Maximum limit for aluminium coming from aluminium lakes of ","only flavoured processed cheese
 Period of application:
 from 1 August 2014",Processed cheese
01.7.5,E 122,"Azorubine, Carmoisine",100,"Maximum individually or for the combination of E 100, E 102, E 120, E 122, E 160e and E 161b",only flavoured processed cheese,Processed cheese
01.7.5,E 160e,Beta-apo-8′-carotenal (C 30),100,"Maximum individually or for the combination of E 100, E 102, E 120, E 122, E 160e and E 161b",only flavoured processed cheese,Processed cheese
01.7.5,E 161b,Lutein,100,"Maximum individually or for the combination of E 100, E 102, E 120, E 122, E 160e and E 161b",only flavoured processed cheese,Processed cheese
01.7.5,E 160d,Lycopene,5,,only flavoured processed cheese,Processed cheese
01.7.5,E 160a,Carotenes,quantum satis,,,Processed cheese
01.7.5,E 160c,"Paprika extract, capsanthin, capsorubin",quantum satis,,,Processed cheese
01.7.5,E 160b,"Annatto, Bixin, Norbixin",15,,,Processed cheese
01.7.5,E 200-202,Sorbic acid - potassium sorbate,2 000,The additives may be added individually or in combination ; The maximum level is applicable to the sum and the levels are expressed as the free acid,,Processed cheese
01.7.5,E 234,Nisin,"12,5",This substance may be present naturally in certain cheeses as a result of fermentation processes,,Processed cheese
01.7.5,E 338-452,"Phosphoric acid - phosphates - di-, tri- and polyphosphates",20 000,The additives may be added individually or in combination ; The maximum level is expressed as P2O5,,Processed cheese
01.7.5,E 427,Cassia gum,2 500,,,Processed cheese
01.7.5,E 551-559,Silicon dioxide - silicates,10 000,The additives may be added individually or in combination,"Period of application:
 until 31 January 2014",Processed cheese
01.7.5,E 551-553,Silicon dioxide - silicates,10 000,The additives may be added individually or in combination,"Period of application:
 from 1 February 2014",Processed cheese
01.7.6,Group I,Additives,,,,Cheese products (excluding products falling in category 16)
01.7.6,Group II,Colours at quantum satis,quantum satis,,only flavoured unripened products,Cheese products (excluding products falling in category 16)
01.7.6,Group III,Colours with combined maximum limit,100,,only flavoured unripened products,Cheese products (excluding products falling in category 16)
01.7.6,E 1105,Lysozyme,quantum satis,,only ripened products,Cheese products (excluding products falling in category 16)
01.7.6,"
                           
                         E 120","Carminic acid, Carmine ",125,,only red marbled products,Cheese products (excluding products falling in category 16)
01.7.6,E 160a,Carotenes,quantum satis,,"only ripened orange, yellow and broken-white products",Cheese products (excluding products falling in category 16)
01.7.6,E 160b,"Annatto, Bixin, Norbixin",15,,"only ripened orange, yellow and broken-white products",Cheese products (excluding products falling in category 16)
01.7.6,E 160c,"Paprika extract, capsanthin, capsorubin",quantum satis,,"only ripened orange, yellow and broken-white products",Cheese products (excluding products falling in category 16)
01.7.6,E 163,Anthocyanins,quantum satis,,only red marbled products,Cheese products (excluding products falling in category 16)
01.7.6,E 170,Calcium carbonate,quantum satis,,only ripened products,Cheese products (excluding products falling in category 16)
01.7.6,E 200-202,Sorbic acid - potassium sorbate,1 000,The additives may be added individually or in combination ; The maximum level is applicable to the sum and the levels are expressed as the free acid,"only unripened products; ripened products, pre-packed, sliced; layered ripened products and ripened products with added foods",Cheese products (excluding products falling in category 16)
01.7.6,E 200-202,Sorbic acid - potassium sorbate,quantum satis,,only ripened products surface treatment,Cheese products (excluding products falling in category 16)
01.7.6,E 234,Nisin,"12,5",This substance may be present naturally in certain cheeses as a result of fermentation processes,only ripened and processed products,Cheese products (excluding products falling in category 16)
01.7.6,E 235,Natamycin,1 mg/dm2 surface (not present at a depth of 5 mm),,"only for the external treatment of uncut hard, semi-hard and semi-soft products",Cheese products (excluding products falling in category 16)
01.7.6,E 251-252,Nitrates,150,In the cheese milk or equivalent level if added after removal of whey and addition of water,"only hard, semi-hard and semi-soft ripened products",Cheese products (excluding products falling in category 16)
01.7.6,E 280-283,Propionic acid - propionates,quantum satis,,only ripened products surface treatment,Cheese products (excluding products falling in category 16)
01.7.6,E 338-452,"Phosphoric acid - phosphates - di-, tri- and polyphosphates",2 000,The additives may be added individually or in combination ; The maximum level is expressed as P2O5,only unripened products,Cheese products (excluding products falling in category 16)
01.7.6,E 460,Powdered cellulose,quantum satis,,only grated and sliced ripened products and unripened products,Cheese products (excluding products falling in category 16)
01.7.6,E 504,Magnesium carbonates,quantum satis,,only ripened products,Cheese products (excluding products falling in category 16)
01.7.6,E 509,Calcium chloride,quantum satis,,only ripened products,Cheese products (excluding products falling in category 16)
01.7.6,E 551-559,"Silicon dioxide, calcium silicate, magnesium silicate, talc",10 000,The additives may be added individually or in combination,"only sliced or grated hard and semi-hard products
 Period of application:
 until 31 January 2014",Cheese products (excluding products falling in category 16)
01.7.6,E 551-553,Silicon dioxide - silicates,10 000,The additives may be added individually or in combination,"only sliced or grated hard and semi-hard products
 Period of application:
 from 1 February 2014",Cheese products (excluding products falling in category 16)
01.7.6,E 575,Glucono-delta-lactone,quantum satis,,only ripened products,Cheese products (excluding products falling in category 16)
01.8,Group I,Additives,,,,"Dairy analogues, including beverage whiteners"
01.8,Group II,Colours at quantum satis,quantum satis,,,"Dairy analogues, including beverage whiteners"
01.8,E 200-202,Sorbic acid - potassium sorbate,2 000,The additives may be added individually or in combination ; The maximum level is applicable to the sum and the levels are expressed as the free acid,only analogues of cheese based on protein,"Dairy analogues, including beverage whiteners"
01.8,E 200-202,Sorbic acid - potassium sorbate,quantum satis,The additives may be added individually or in combination ; The maximum level is applicable to the sum and the levels are expressed as the free acid,only cheese analogues (surface treatment only),"Dairy analogues, including beverage whiteners"
01.8,E 251-252,Nitrates,150,In the cheese milk or equivalent level if added after removal of whey and addition of water,only dairy-based cheese analogue,"Dairy analogues, including beverage whiteners"
01.8,E 280-283,Propionic acid - propionates,quantum satis,,only cheese analogues (surface treatment only),"Dairy analogues, including beverage whiteners"
01.8,E 338-452,"Phosphoric acid - phosphates - di-, tri- and polyphosphates",5 000,The additives may be added individually or in combination ; The maximum level is expressed as P2O5,only whipped cream analogues,"Dairy analogues, including beverage whiteners"
01.8,E 338-452,"Phosphoric acid - phosphates - di-, tri- and polyphosphates",20 000,The additives may be added individually or in combination ; The maximum level is expressed as P2O5,only processed cheese analogues,"Dairy analogues, including beverage whiteners"
01.8,E 338-452,"Phosphoric acid - phosphates - di-, tri- and polyphosphates",30 000,The additives may be added individually or in combination ; The maximum level is expressed as P2O5,only beverage whiteners,"Dairy analogues, including beverage whiteners"
01.8,E 338-452,"Phosphoric acid - phosphates - di-, tri- and polyphosphates",50 000,The additives may be added individually or in combination ; The maximum level is expressed as P2O5,only beverage whiteners for vending machines,"Dairy analogues, including beverage whiteners"
01.8,E 432-436,Polysorbates,5 000,The additives may be added individually or in combination,only milk and cream analogues,"Dairy analogues, including beverage whiteners"
01.8,E 473-474,Sucrose esters of fatty acids - sucroglycerides,5 000,The additives may be added individually or in combination,only cream analogues,"Dairy analogues, including beverage whiteners"
01.8,E 473-474,Sucrose esters of fatty acids - sucroglycerides,20 000,The additives may be added individually or in combination,only beverage whiteners,"Dairy analogues, including beverage whiteners"
