E number of the added food additive,Name of the added food additive,Maximum level in enzyme preparation,Maximum level in final food except beverages,Maximum level in beverages,Can be used as a carrier?
E 338,Phosphoric acid,10 000mg/kg (expressed as P2O5),quantum satis,quantum satis,
E 339,Sodium phosphates,"50 000mg/kg (singly or in combination, expressed as P2O5)",quantum satis,quantum satis,Yes
E 340,Potassium phosphates,"50 000mg/kg (singly or in combination, expressed as P2O5)",quantum satis,quantum satis,Yes
E 341,Calcium phosphates,"50 000mg/kg (singly or in combination, expressed as P2O5)",quantum satis,quantum satis,Yes
E 343,Magnesium phosphates,"50 000mg/kg (singly or in combination, expressed as P2O5)",quantum satis,quantum satis,Yes
E 351,Potassium malate,quantum satis,quantum satis,quantum satis,Yes
E 352,Calcium malates,quantum satis,quantum satis,quantum satis,Yes
E 354,Calcium tartrate,quantum satis,quantum satis,quantum satis,
E 380,Triammonium citrate,quantum satis,quantum satis,quantum satis,
E 400,Alginic acid,quantum satis,quantum satis,quantum satis,Yes
E 401,Sodium alginate,quantum satis,quantum satis,quantum satis,Yes
E 402,Potassium alginate,quantum satis,quantum satis,quantum satis,Yes
E 403,Ammonium alginate,quantum satis,quantum satis,quantum satis,
E 404,Calcium alginate,quantum satis,quantum satis,quantum satis,Yes
E 406,Agar,quantum satis,quantum satis,quantum satis,Yes
E 407,Carrageenan,quantum satis,quantum satis,quantum satis,Yes
E 407a,Processed euchema seaweed,quantum satis,quantum satis,quantum satis,
E 410,Locust bean gum,quantum satis,quantum satis,quantum satis,Yes
E 412,Guar gum,quantum satis,quantum satis,quantum satis,Yes
E 413,Tragacanth,quantum satis,quantum satis,quantum satis,Yes
E 414,Acacia gum (gum arabic),quantum satis,quantum satis,quantum satis,Yes
E 415,Xanthan gum,quantum satis,quantum satis,quantum satis,Yes
E 417,Tara gum,quantum satis,quantum satis,quantum satis,Yes
E 418,Gellan gum,quantum satis,quantum satis,quantum satis,Yes
E 420,Sorbitol,quantum satis,quantum satis,quantum satis,Yes
E 421,Mannitol,quantum satis,quantum satis,quantum satis,Yes
E 422,Glycerol,quantum satis,quantum satis,quantum satis,Yes
E 440,Pectins,quantum satis,quantum satis,quantum satis,Yes
E 450,Diphosphates,50 000mg/kg (singly or in combination expressed as P2O5),quantum satis,quantum satis,
E 451,Triphosphates,50 000mg/kg (singly or in combination expressed as P2O5),quantum satis,quantum satis,
E 452,Polyphosphates,50 000mg/kg (singly or in combination expressed as P2O5),quantum satis,quantum satis,
E 460,Cellulose,quantum satis,quantum satis,quantum satis,Yes
E 461,Methyl cellulose,quantum satis,quantum satis,quantum satis,Yes
E 462,Ethyl cellulose,quantum satis,quantum satis,quantum satis,
E 463,Hydroxypropyl cellulose,quantum satis,quantum satis,quantum satis,Yes
E 464,Hydroxypropyl methyl cellulose,quantum satis,quantum satis,quantum satis,Yes
E 465,Ethyl methyl cellulose,quantum satis,quantum satis,quantum satis,
E 466,"Sodium carboxy methyl cellulose,
 Cellulose gum",quantum satis,quantum satis,quantum satis,Yes
E 469,Enzymatically hydrolysed carboxy methyl cellulose,quantum satis,quantum satis,quantum satis,
E 470a,"Sodium, potassium and calcium salts of fatty acids",quantum satis,quantum satis,quantum satis,
E 470b,Magnesium salts of fatty acids,quantum satis,quantum satis,quantum satis,
E 471,Mono- and diglycerides of fatty acids,quantum satis,quantum satis,quantum satis,Yes
E 472a,Acetic acid esters of mono- and diglycerides of fatty acids,quantum satis,quantum satis,quantum satis,Yes
E 472b,Lactic acid esters of mono- and diglycerides of fatty acids,quantum satis,quantum satis,quantum satis,Yes
E 472c,Citric acid esters of mono- and diglycerides of fatty acids,quantum satis,quantum satis,quantum satis,Yes
E 472d,Tartaric acid esters of mono- and diglycerides of fatty acids,quantum satis,quantum satis,quantum satis,Yes
E 472e,Mono- and diacetyl tartaric acid esters of mono- and diglycerides of fatty acids,quantum satis,quantum satis,quantum satis,Yes
E 472f,Mixed acetic and tartaric acid esters of mono- and diglycerides of fatty acids,quantum satis,quantum satis,quantum satis,Yes
E 473,Sucrose esters of fatty acids,50 000mg/kg,50mg/kg,25mg/L,"Yes, only as a carrier"
E 500,Sodium carbonates,quantum satis,quantum satis,quantum satis,Yes
E 501,Potassium carbonates,quantum satis,quantum satis,quantum satis,"Yes, E 501 (i) potassium carbonate only"
E 503,Ammonium carbonates,quantum satis,quantum satis,quantum satis,Yes
E 504,Magnesium carbonates,quantum satis,quantum satis,quantum satis,Yes
E 507,Hydrochloric acid,quantum satis,quantum satis,quantum satis,Yes
E 508,Potassium chloride,quantum satis,quantum satis,quantum satis,Yes
E 509,Calcium chloride,quantum satis,quantum satis,quantum satis,Yes
E 511,Magnesium chloride,quantum satis,quantum satis,quantum satis,Yes
E 513,Sulphuric acid,quantum satis,quantum satis,quantum satis,Yes
E 514,Sodium sulphates,quantum satis,quantum satis,quantum satis,"Yes, E 514 (i) sodium sulphate only"
E 515,Potassium sulphates,quantum satis,quantum satis,quantum satis,Yes
E 516,Calcium sulphate,quantum satis,quantum satis,quantum satis,Yes
E 517,Ammonium sulphate,100 000mg/kg,100mg/kg,50mg/l,Yes
E 524,Sodium hydroxide,quantum satis,quantum satis,quantum satis,
E 525,Potassium hydroxide,quantum satis,quantum satis,quantum satis,Yes
E 526,Calcium hydroxide,quantum satis,quantum satis,quantum satis,Yes
E 527,Ammonium hydroxide,quantum satis,quantum satis,quantum satis,Yes
E 528,Magnesium hydroxide,quantum satis,quantum satis,quantum satis,Yes
E 529,Calcium oxide,quantum satis,quantum satis,quantum satis,Yes
E 530,Magnesium oxide,quantum satis,quantum satis,quantum satis,
E 551,Silicon dioxide,50 000mg/kg in the dry powdered preparation,quantum satis,quantum satis,Yes
E 570,Fatty acids,quantum satis,quantum satis,quantum satis,
E 574,Gluconic acid,quantum satis,quantum satis,quantum satis,Yes
E 575,Glucono-delta-lactone,quantum satis,quantum satis,quantum satis,Yes
E 576,Sodium gluconate,quantum satis,quantum satis,quantum satis,
E 577,Potassium gluconate,quantum satis,quantum satis,quantum satis,
E 578,Calcium gluconate,quantum satis,quantum satis,quantum satis,Yes
E 640,Glycine and its sodium salt,quantum satis,quantum satis,quantum satis,
E 920,L-cysteine,10 000mg/kg,10mg/kg,5mg/l,
E 938,Argon,quantum satis,quantum satis,quantum satis,
E 939,Helium,quantum satis,quantum satis,quantum satis,
E 941,Nitrogen,quantum satis,quantum satis,quantum satis,
E 942,Nitrous oxide,quantum satis,quantum satis,quantum satis,
E 948,Oxygen,quantum satis,quantum satis,quantum satis,
E 949,Hydrogen,quantum satis,quantum satis,quantum satis,
E 965,Maltitol,quantum satis,quantum satis,quantum satis,Yes
E 966,Lactitol,quantum satis,quantum satis,quantum satis,Yes (only as a carrier)
E 967,Xylitol,quantum satis,quantum satis,quantum satis,Yes (only as a carrier)
E 1200,Polydextrose,quantum satis,quantum satis,quantum satis,Yes
E 1404,Oxidised starch,quantum satis,quantum satis,quantum satis,Yes
E 1410,Monostarch phosphate,quantum satis,quantum satis,quantum satis,Yes
E 1412,Distarch phosphate,quantum satis,quantum satis,quantum satis,Yes
E 1413,Phosphated distarch phosphate,quantum satis,quantum satis,quantum satis,Yes
E 1414,Acetylated distarch phosphate,quantum satis,quantum satis,quantum satis,Yes
E 1420,Acetylated starch,quantum satis,quantum satis,quantum satis,Yes
E 1422,Acetylated distarch adipate,quantum satis,quantum satis,quantum satis,Yes
E 1440,Hydroxy propyl starch,quantum satis,quantum satis,quantum satis,Yes
E 1442,Hydroxy propyl distarch phosphate,quantum satis,quantum satis,quantum satis,Yes
E 1450,Starch sodium octenyl succinate,quantum satis,quantum satis,quantum satis,Yes
E 1451,Acetylated oxidised starch,quantum satis,quantum satis,quantum satis,Yes
E 1520,"Propane-1, 2-diol (propylene glycol)",500g/kg,(see footnote) (2),(see footnote) (2),"Yes, only as a carrier"
