Authorised novel food,Conditions under which the novel food may be used,Conditions under which the novel food may be used,Additional specific labelling requirements,Other requirements,Data Protection,footnote
N-Acetyl-D-neuraminic acid,Table top sweeteners,"8,3 g/kg","The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘N-acetyl-D-neuraminic acid’
Food supplements containing N-acetyl-D-neuraminic acid shall bear a statement that the food supplement should not be given to infants, young children and children under 10 years of age where they consume breast milk or other foods with added N-acetyl-D-neuraminic acid within the same twenty four hour period.",,,
N-Acetyl-D-neuraminic acid,Fruit and vegetable-based drinks,"0,05 g/L","The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘N-acetyl-D-neuraminic acid’
Food supplements containing N-acetyl-D-neuraminic acid shall bear a statement that the food supplement should not be given to infants, young children and children under 10 years of age where they consume breast milk or other foods with added N-acetyl-D-neuraminic acid within the same twenty four hour period.",,,
N-Acetyl-D-neuraminic acid,Flavoured drinks,"0,05 g/L","The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘N-acetyl-D-neuraminic acid’
Food supplements containing N-acetyl-D-neuraminic acid shall bear a statement that the food supplement should not be given to infants, young children and children under 10 years of age where they consume breast milk or other foods with added N-acetyl-D-neuraminic acid within the same twenty four hour period.",,,
N-Acetyl-D-neuraminic acid,"Speciality coffee, tea, herbal and fruit infusions, chicory; tea, herbal and fruit infusions and chicory extracts; tea, plant, fruit and cereal preparations for infusions","0,2 g/kg","The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘N-acetyl-D-neuraminic acid’
Food supplements containing N-acetyl-D-neuraminic acid shall bear a statement that the food supplement should not be given to infants, young children and children under 10 years of age where they consume breast milk or other foods with added N-acetyl-D-neuraminic acid within the same twenty four hour period.",,,
N-Acetyl-D-neuraminic acid,Food Supplements as defined in Directive 2002/46/EC (3),300 mg/day for general population older than 10 years; 55 mg/day for infants; 130 mg/day for young children; 250 mg/day for children between 3 to 10 years of age,"The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘N-acetyl-D-neuraminic acid’
Food supplements containing N-acetyl-D-neuraminic acid shall bear a statement that the food supplement should not be given to infants, young children and children under 10 years of age where they consume breast milk or other foods with added N-acetyl-D-neuraminic acid within the same twenty four hour period.",,,"(3) Directive 2002/46/EC of the European Parliament and of the Council of 10 June 2002 on the approximation of the laws of the Member States relating to food supplements (OJ L 183, 12.7.2002, p. 51). "
Adansonia digitata (Baobab) dried fruit pulp,Not specified,Not specified,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Baobab fruit pulp’,,,
Ajuga reptans extract from cell cultures,Specified food category,Maximum levels,,,,
Ajuga reptans extract from cell cultures,Food Supplements as defined in Directive 2002/46/EC,In line with normal use in food supplements of a similar extract of the flowering aerial parts of Ajuga reptans,,,,
L-Alanyl-L-Glutamine,Specified food category,Maximum levels,,,,
L-Alanyl-L-Glutamine,Food Supplements as defined in Directive 2002/46/EC,,,,,
L-Alanyl-L-Glutamine,Foods for special medical purposes as defined in Regulation (EU) No 609/2013 excluding foods for infants and young children,,,,,
L-Alanyl-L-Glutamine,Drinks intended to meet the expenditure of intense muscular effort especially for sportsmen,,,,,
Algal oil from the microalgae Ulkenia sp.,Specified food category,Maximum levels of DHA,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the micro-algae Ulkenia sp.’,,,
Algal oil from the microalgae Ulkenia sp.,"Bakery products (breads, rolls and sweet biscuits)",200 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the micro-algae Ulkenia sp.’,,,
Algal oil from the microalgae Ulkenia sp.,Cereal bars,500 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the micro-algae Ulkenia sp.’,,,
Algal oil from the microalgae Ulkenia sp.,Non-alcoholic beverages (including milk based beverages),60 mg/100 ml,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the micro-algae Ulkenia sp.’,,,
Allanblackia seed oil,Specified food category,Maximum levels,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Allanblackia seed oil’,,,
Allanblackia seed oil,Yellow fat spreads and cream based spreads,30 g/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Allanblackia seed oil’,,,
Allanblackia seed oil,"Mixtures of vegetable oils (*) and milk (falling under the food category: Dairy analogues, including beverage whiteners)",30 g/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Allanblackia seed oil’,,,
Allanblackia seed oil,"(*)
Except olive oils and olive pomace oils as defined in Part VIII of Annex VII of Regulation (EU) No 1308/2013.",(*) Except olive oils and olive pomace oils as defined in Part VIII of Annex VII of Regulation (EU) No 1308/2013.,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Allanblackia seed oil’,,,
Aloe macroclada Baker leaf extract,Specified food category,Maximum levels,,,,
Aloe macroclada Baker leaf extract,Food Supplements as defined in Directive 2002/46/EC,In line with normal use in food supplements of the similar gel derived from Aloe vera (L.) Burm.,,,,
Antarctic Krill oil from Euphausia superba,Specified food category,Maximum levels of combined DHA and EPA,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lipid extract from the crustacean Antarctic Krill (Euphausia superba)’,,,
Antarctic Krill oil from Euphausia superba,Dairy products except milk-based drinks,200 mg/100 g or for cheese products 600 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lipid extract from the crustacean Antarctic Krill (Euphausia superba)’,,,
Antarctic Krill oil from Euphausia superba,Dairy analogues except drinks,200 mg/100 g or for analogues to cheese products 600 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lipid extract from the crustacean Antarctic Krill (Euphausia superba)’,,,
Antarctic Krill oil from Euphausia superba,"Non-alcoholic beverages
Milk-based drinks
Dairy analogue drinks",80 mg/100 ml,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lipid extract from the crustacean Antarctic Krill (Euphausia superba)’,,,
Antarctic Krill oil from Euphausia superba,Spreadable fat and dressings,600 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lipid extract from the crustacean Antarctic Krill (Euphausia superba)’,,,
Antarctic Krill oil from Euphausia superba,Cooking fats,360 mg/100 ml,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lipid extract from the crustacean Antarctic Krill (Euphausia superba)’,,,
Antarctic Krill oil from Euphausia superba,Breakfast cereals,500 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lipid extract from the crustacean Antarctic Krill (Euphausia superba)’,,,
Antarctic Krill oil from Euphausia superba,"Bakery products (breads, rolls and sweet biscuits)",200 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lipid extract from the crustacean Antarctic Krill (Euphausia superba)’,,,
Antarctic Krill oil from Euphausia superba,Nutrition bars/cereal bars,500 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lipid extract from the crustacean Antarctic Krill (Euphausia superba)’,,,
Antarctic Krill oil from Euphausia superba,Food Supplements as defined in Directive 2002/46/EC,3 000 mg/day for the general population; 450 mg/day for pregnant and lactating women,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lipid extract from the crustacean Antarctic Krill (Euphausia superba)’,,,
Antarctic Krill oil from Euphausia superba,Foods for special medical purposes as defined in Regulation (EU) No 609/2013,In accordance with the particular nutritional requirements of the persons for whom the products are intended,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lipid extract from the crustacean Antarctic Krill (Euphausia superba)’,,,
Antarctic Krill oil from Euphausia superba,Total diet replacement for weight control as defined in Regulation (EU) No 609/2013 and meal replacements for weight control,250 mg/meal,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lipid extract from the crustacean Antarctic Krill (Euphausia superba)’,,,
Antarctic Krill oil from Euphausia superba,Processed cereal-based food and baby food intended for infants and young children covered by Regulation (EU) No 609/2013,200 mg/100 ml,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lipid extract from the crustacean Antarctic Krill (Euphausia superba)’,,,
Antarctic Krill oil from Euphausia superba,"Foods intended to meet the expenditure of intense muscular effort, especially for sportsmen",200 mg/100 ml,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lipid extract from the crustacean Antarctic Krill (Euphausia superba)’,,,
Antarctic Krill oil from Euphausia superba,Foods bearing statements on the absence or reduced presence of gluten in accordance with the requirements of Commission Implementing Regulation (EU) No 828/2014,200 mg/100 ml,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lipid extract from the crustacean Antarctic Krill (Euphausia superba)’,,,
Antarctic Krill oil rich in phospholipids from Euphausia superba,Specified food category,Maximum levels of combined DHA and EPA,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lipid extract from the crustacean Antarctic Krill (Euphausia superba)’,,,
Antarctic Krill oil rich in phospholipids from Euphausia superba,Dairy products except milk-based drinks,200 mg/100 g or for cheese products 600 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lipid extract from the crustacean Antarctic Krill (Euphausia superba)’,,,
Antarctic Krill oil rich in phospholipids from Euphausia superba,Dairy analogues except drinks,200 mg/100 g or for analogues to cheese products 600 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lipid extract from the crustacean Antarctic Krill (Euphausia superba)’,,,
Antarctic Krill oil rich in phospholipids from Euphausia superba,"Non-alcoholic beverages
Milk-based drinks
Dairy analogue drinks",80 mg/100 ml,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lipid extract from the crustacean Antarctic Krill (Euphausia superba)’,,,
Antarctic Krill oil rich in phospholipids from Euphausia superba,Spreadable fat and dressings,600 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lipid extract from the crustacean Antarctic Krill (Euphausia superba)’,,,
Antarctic Krill oil rich in phospholipids from Euphausia superba,Cooking fats,360 mg/100 ml,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lipid extract from the crustacean Antarctic Krill (Euphausia superba)’,,,
Antarctic Krill oil rich in phospholipids from Euphausia superba,Breakfast cereals,500 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lipid extract from the crustacean Antarctic Krill (Euphausia superba)’,,,
Antarctic Krill oil rich in phospholipids from Euphausia superba,"Bakery products (breads, rolls and sweet biscuits)",200 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lipid extract from the crustacean Antarctic Krill (Euphausia superba)’,,,
Antarctic Krill oil rich in phospholipids from Euphausia superba,Nutrition bars/cereal bars,500 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lipid extract from the crustacean Antarctic Krill (Euphausia superba)’,,,
Antarctic Krill oil rich in phospholipids from Euphausia superba,Food Supplements as defined in Directive 2002/46/EC,3 000 mg/day for the general population; 450 mg/day for pregnant and lactating women,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lipid extract from the crustacean Antarctic Krill (Euphausia superba)’,,,
Antarctic Krill oil rich in phospholipids from Euphausia superba,Foods for special medical purposes as defined in Regulation (EU) No 609/2013,In accordance with the particular nutritional requirements of the persons for whom the products are intended,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lipid extract from the crustacean Antarctic Krill (Euphausia superba)’,,,
Antarctic Krill oil rich in phospholipids from Euphausia superba,Total diet replacement for weight control as defined in Regulation (EU) No 609/2013 and meal replacements for weight control,250 mg/meal,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lipid extract from the crustacean Antarctic Krill (Euphausia superba)’,,,
Antarctic Krill oil rich in phospholipids from Euphausia superba,Processed cereal-based food and baby food intended for infants and young children covered by Regulation (EU) No 609/2013,200 mg/100 ml,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lipid extract from the crustacean Antarctic Krill (Euphausia superba)’,,,
Antarctic Krill oil rich in phospholipids from Euphausia superba,"Foods intended to meet the expenditure of intense muscular effort, especially for sportsmen",200 mg/100 ml,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lipid extract from the crustacean Antarctic Krill (Euphausia superba)’,,,
Antarctic Krill oil rich in phospholipids from Euphausia superba,Foods bearing statements on the absence or reduced presence of gluten in accordance with the requirements of Commission Implementing Regulation (EU) No 828/2014,200 mg/100 ml,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lipid extract from the crustacean Antarctic Krill (Euphausia superba)’,,,
Arachidonic acid-rich oil from the fungus Mortierella alpina,Specified food category,Maximum levels,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from Mortierella alpina’ or ‘Mortierella alpina oil’,,,
Arachidonic acid-rich oil from the fungus Mortierella alpina,Infant formula and follow-on formula as defined in Regulation (EU) No 609/2013,In accordance with Regulation (EU) No 609/2013,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from Mortierella alpina’ or ‘Mortierella alpina oil’,,,
Arachidonic acid-rich oil from the fungus Mortierella alpina,Foods for special medical purposes for premature infants as defined in Regulation (EU) No 609/2013,In accordance with Regulation (EU) No 609/2013,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from Mortierella alpina’ or ‘Mortierella alpina oil’,,,
Argan oil from Argania spinosa,Specified food category,Maximum levels,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Argan oil’ and if used as seasoning ‘Vegetable oil only for seasoning’ shall be mentioned on the label,,,
Argan oil from Argania spinosa,As seasonings,Not specified,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Argan oil’ and if used as seasoning ‘Vegetable oil only for seasoning’ shall be mentioned on the label,,,
Argan oil from Argania spinosa,Food Supplements as defined in Directive 2002/46/EC,In line with normal food use of vegetable oils,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Argan oil’ and if used as seasoning ‘Vegetable oil only for seasoning’ shall be mentioned on the label,,,
Astaxanthin-rich oleoresin from Haematococcus pluvialis algae,Specified food category,Maximum levels,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Astaxanthin’,,,
Astaxanthin-rich oleoresin from Haematococcus pluvialis algae,Food Supplements as defined in Directive 2002/46/EC,"40-80 mg/day of oleoresin, resulting in ≤ 8 mg astaxanthin per day",The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Astaxanthin’,,,
Basil seeds (Ocimum basilicum),Specified food category,Maximum levels,,,,
Basil seeds (Ocimum basilicum),Fruit juice and fruit/vegetable blend beverages,3 g/200 ml for addition of whole basil seeds (Ocimum basilicum),,,,
Betaine,Specified food category,Maximum levels (7),"The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘betaine’.
The labelling of foods containing betaine shall bear a statement that the foods should not be used if food supplements containing betaine are consumed the same day.",,"Authorised on 22 August 2019. This inclusion is based on proprietary scientific evidence and scientific data protected in accordance with Article 26 of Regulation (EU) 2015/2283.
Applicant: DuPont Nutrition Biosciences ApS, Langebrogade 1 Copenhagen K, DK-1411, Denmark. During the period of data protection, the novel food betaine is authorised for placing on the market within the Union only by DuPont Nutrition Biosciences ApS unless a subsequent applicant obtains authorisation for the novel food without reference to the proprietary scientific evidence or scientific data protected in accordance with Article 26 of Regulation (EU) 2015/2283 or with the agreement of DuPont Nutrition Biosciences ApS,
End date of the data protection: 22 August 2024.",
Betaine,"Drink powders, isotonic and energy drinks intended for sportsmen",60 mg/100 g,"The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘betaine’.
The labelling of foods containing betaine shall bear a statement that the foods should not be used if food supplements containing betaine are consumed the same day.",,"Authorised on 22 August 2019. This inclusion is based on proprietary scientific evidence and scientific data protected in accordance with Article 26 of Regulation (EU) 2015/2283.
Applicant: DuPont Nutrition Biosciences ApS, Langebrogade 1 Copenhagen K, DK-1411, Denmark. During the period of data protection, the novel food betaine is authorised for placing on the market within the Union only by DuPont Nutrition Biosciences ApS unless a subsequent applicant obtains authorisation for the novel food without reference to the proprietary scientific evidence or scientific data protected in accordance with Article 26 of Regulation (EU) 2015/2283 or with the agreement of DuPont Nutrition Biosciences ApS,
End date of the data protection: 22 August 2024.",
Betaine,Protein and cereal bars intended for sportsmen,500 mg/100 g,"The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘betaine’.
The labelling of foods containing betaine shall bear a statement that the foods should not be used if food supplements containing betaine are consumed the same day.",,"Authorised on 22 August 2019. This inclusion is based on proprietary scientific evidence and scientific data protected in accordance with Article 26 of Regulation (EU) 2015/2283.
Applicant: DuPont Nutrition Biosciences ApS, Langebrogade 1 Copenhagen K, DK-1411, Denmark. During the period of data protection, the novel food betaine is authorised for placing on the market within the Union only by DuPont Nutrition Biosciences ApS unless a subsequent applicant obtains authorisation for the novel food without reference to the proprietary scientific evidence or scientific data protected in accordance with Article 26 of Regulation (EU) 2015/2283 or with the agreement of DuPont Nutrition Biosciences ApS,
End date of the data protection: 22 August 2024.",
Betaine,Meal replacements intended for sportsmen,20 mg/100 g,"The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘betaine’.
The labelling of foods containing betaine shall bear a statement that the foods should not be used if food supplements containing betaine are consumed the same day.",,"Authorised on 22 August 2019. This inclusion is based on proprietary scientific evidence and scientific data protected in accordance with Article 26 of Regulation (EU) 2015/2283.
Applicant: DuPont Nutrition Biosciences ApS, Langebrogade 1 Copenhagen K, DK-1411, Denmark. During the period of data protection, the novel food betaine is authorised for placing on the market within the Union only by DuPont Nutrition Biosciences ApS unless a subsequent applicant obtains authorisation for the novel food without reference to the proprietary scientific evidence or scientific data protected in accordance with Article 26 of Regulation (EU) 2015/2283 or with the agreement of DuPont Nutrition Biosciences ApS,
End date of the data protection: 22 August 2024.",
Betaine,Total diet replacement for weight control as defined under Regulation (EU) No 609/2013,500 mg/100 g (bar); 136 mg/100 g (soup); 188 mg/100 g (porridge); 60 mg/100 g (beverages),"The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘betaine’.
The labelling of foods containing betaine shall bear a statement that the foods should not be used if food supplements containing betaine are consumed the same day.",,"Authorised on 22 August 2019. This inclusion is based on proprietary scientific evidence and scientific data protected in accordance with Article 26 of Regulation (EU) 2015/2283.
Applicant: DuPont Nutrition Biosciences ApS, Langebrogade 1 Copenhagen K, DK-1411, Denmark. During the period of data protection, the novel food betaine is authorised for placing on the market within the Union only by DuPont Nutrition Biosciences ApS unless a subsequent applicant obtains authorisation for the novel food without reference to the proprietary scientific evidence or scientific data protected in accordance with Article 26 of Regulation (EU) 2015/2283 or with the agreement of DuPont Nutrition Biosciences ApS,
End date of the data protection: 22 August 2024.",
Betaine,Foods for Special Medical Purposes as defined under Regulation (EU) No 609/2013 for adults,400 mg/day,"The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘betaine’.
The labelling of foods containing betaine shall bear a statement that the foods should not be used if food supplements containing betaine are consumed the same day.",,"Authorised on 22 August 2019. This inclusion is based on proprietary scientific evidence and scientific data protected in accordance with Article 26 of Regulation (EU) 2015/2283.
Applicant: DuPont Nutrition Biosciences ApS, Langebrogade 1 Copenhagen K, DK-1411, Denmark. During the period of data protection, the novel food betaine is authorised for placing on the market within the Union only by DuPont Nutrition Biosciences ApS unless a subsequent applicant obtains authorisation for the novel food without reference to the proprietary scientific evidence or scientific data protected in accordance with Article 26 of Regulation (EU) 2015/2283 or with the agreement of DuPont Nutrition Biosciences ApS,
End date of the data protection: 22 August 2024.",
Fermented black bean extract,Specified food category,Maximum levels,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Fermented black bean (Soya) extract’’ or ‘Fermented Soya extract’,,,
Fermented black bean extract,Food Supplements as defined in Directive 2002/46/EC,"4,5 g/day",The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Fermented black bean (Soya) extract’’ or ‘Fermented Soya extract’,,,
Bovine lactoferrin,Specified food category,Maximum levels,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lactoferrin from cows’ milk’,,,
Bovine lactoferrin,Infant formula and follow-on formula as defined in Regulation (EU) No 609/2013 (ready to drink),100 mg/100 ml,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lactoferrin from cows’ milk’,,,
Bovine lactoferrin,Foods on dairy basis intended for young children (ready to eat/drink),200 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lactoferrin from cows’ milk’,,,
Bovine lactoferrin,Processed cereal food (solid),670 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lactoferrin from cows’ milk’,,,
Bovine lactoferrin,Foods for special medical purposes as defined in Regulation (EU) No 609/2013,Depending on the needs of the individual up to 3 g/day,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lactoferrin from cows’ milk’,,,
Bovine lactoferrin,Beverages based on milk,200 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lactoferrin from cows’ milk’,,,
Bovine lactoferrin,Powdered drink mixes based on milk (ready to drink),330 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lactoferrin from cows’ milk’,,,
Bovine lactoferrin,Beverages based on fermented milk (including yoghurt drinks),50 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lactoferrin from cows’ milk’,,,
Bovine lactoferrin,Non-alcoholic drinks,120 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lactoferrin from cows’ milk’,,,
Bovine lactoferrin,Products based on yoghurt,80 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lactoferrin from cows’ milk’,,,
Bovine lactoferrin,Products based on cheese,2 000 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lactoferrin from cows’ milk’,,,
Bovine lactoferrin,Ice cream,130 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lactoferrin from cows’ milk’,,,
Bovine lactoferrin,Cakes and pastries,1 000 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lactoferrin from cows’ milk’,,,
Bovine lactoferrin,Candies,750 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lactoferrin from cows’ milk’,,,
Bovine lactoferrin,Chewing gum,3 000 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lactoferrin from cows’ milk’,,,
