FCM substance No,Ref. No,CAS No,Substance name,"Use as additive or polymer production aid
                     (yes/no)","Use as monomer or other starting substance or macromolecule obtained from microbial fermentation
                     (yes/no)","FRF applicable
                     (yes/no)","SML
                     [mg/kg]","SML(T)
                     [mg/kg]
                     (Group restriction No)",Restrictions and specifications,Notes on verification of compliance
68,73160,,"phosphoric acid, mono- and di-n-alkyl (C16 and C18) esters",yes,no,yes,"0,05",,,
69,74400,,"phosphorous acid, tris(nonyl-and/or dinonylphenyl) ester",yes,no,yes,30,,,
70,76463,,"polyacrylic acid, salts",yes,no,no,,'(22),,
71,76730,,"polydimethylsiloxane, γ-hydroxypropylated",yes,no,no,6,,,
72,76815,,"polyester of adipic acid with glycerol or pentaerythritol, esters with even numbered, unbranched C12-C22 fatty acids",yes,no,no,,'(32),The fraction with molecular weight below 1 000 Da shall not exceed 5 % (w/w),
73,76866,,"polyesters of 1,2-propanediol and/or 1,3- and/or 1,4-butanediol and/or polypropyleneglycol with adipic acid, which may be end-capped with acetic acid or fatty acids C12-C18 or n-octanol and/or n-decanol",yes,no,yes,,(31) (32),,
74,77440,,polyethyleneglycol diricinoleate,yes,no,yes,42,,,
75,77702,,polyethyleneglycol esters of aliph. monocarb. acids (C6-C22) and their ammonium and sodium sulphates,yes,no,no,,,,
76,77732,,"polyethylene glycol (EO = 1-30, typically 5) ether of butyl 2-cyano 3-(4-hydroxy-3-methoxyphenyl) acrylate",yes,no,no,"0,05",,Only for use in PET,
77,77733,,"polyethyleneglycol (EO = 1-30, typically 5) ether of butyl-2-cyano-3-(4-hydroxyphenyl) acrylate",yes,no,no,"0,05",,Only for use in PET,
78,77897,,"polyethyleneglycol (EO = 1-50) monoalkylether (linear and branched, C8-C20) sulphate, salts",yes,no,no,5,,,
79,80640,,polyoxyalkyl (C2-C4) dimethylpolysiloxane,yes,no,no,,,,
80,81760,,"powders, flakes and fibres of brass, bronze, copper, stainless steel, tin, iron and alloys of copper, tin and iron",yes,no,no,,,,
81,83320,,propylhydroxyethylcellulose,yes,no,no,,,,
82,83325,,propylhydroxymethylcellulose,yes,no,no,,,,
83,83330,,propylhydroxypropylcellulose,yes,no,no,,,,
84,85601,,"silicates, natural (with the exception of asbestos)",yes,no,no,,,,
85,85610,,"silicates, natural, silanated (with the exception of asbestos)",yes,no,no,,,,
86,86000,,"silicic acid, silylated",yes,no,no,,,,
87,86285,,"Silicon dioxide, silanated",yes,no,no,,,"For synthetic amorphous silicon dioxide, silanated: primary particles of 1-100 nm which are aggregated to a size of 0,1-1 μm and may form agglomerates within the size distribution of 0,3 μm to the mm size.",
88,86880,,sodium monoalkyl dialkylphenoxybenzenedisulphonate,yes,no,no,9,,,
89,89440,,"stearic acid, esters with ethyleneglycol",yes,no,no,,'(2),,
90,92195,,"taurine, salts",yes,no,no,,,,
91,92320,,tetradecyl-polyethyleneglycol(EO = 3-8) ether of glycolic acid,yes,no,yes,15,,,
92,93970,,tricyclodecanedimethanol bis(hexahydrophthalate),yes,no,no,"0,05",,,
93,95858,,"waxes, paraffinic, refined, derived from petroleum based or synthetic hydrocarbon feedstocks, low viscosity",yes,no,no,"0,05",,"Not to be used for articles in contact with fatty foods for which simulant D1 and/or D2 is laid down. Average molecular weight not less than 350 Da. Viscosity at 100 °C not less than 2,5 cSt (2,5 × 10-6 m2/s). Content of hydrocarbons with Carbon number less than 25, not more than 40 % (w/w).",
94,95859,,"waxes, refined, derived from petroleum based or synthetic hydrocarbon feedstocks, high viscosity",yes,no,no,,,"Average molecular weight not less than 500 Da. Viscosity at 100 °C not less than 11 cSt (11 × 10-6 m2/s). Content of mineral hydrocarbons with Carbon number less than 25, not more than 5 % (w/w).",
95,95883,,"white mineral oils, paraffinic, derived from petroleum based hydrocarbon feedstocks",yes,no,no,,,"Average molecular weight not less than 480 Da. Viscosity at 100 °C not less than 8,5 cSt (8,5 × 10-6 m2/s). Content of mineral hydrocarbons with Carbon number less than 25, not more than 5 % (w/w).",
96,95920,,"wood flour and fibers, untreated",yes,no,no,,,,
97,72081/10,,petroleum hydrocarbon resins (hydrogenated),yes,no,no,,,"Petroleum hydrocarbon resins, hydrogenated are produced by the catalytic or thermalpolymerisation of dienes and olefins of the aliphatic, alicyclic and/or monobenzenoidarylalkene types from distillates of cracked petroleum stocks with a boiling range not greater than 220 °C, as well as the pure monomers found in these distillation streams, subsequently followed by distillation, hydrogenation and additional processing. Properties: - Viscosity at 120 °C: > 3 Pa.s, - Softening point: > 95 °C as determined by ASTM Method E 28-67, - Bromine number: < 40 (ASTM D1159), - The colour of a 50 % solution in toluene < 11 on the Gardner scale, - Residual aromatic monomer ≤ 50 ppm,",
98,17260,0000050-00-0,formaldehyde,yes,yes,no,,'(15),,
98,54880,0000050-00-0,formaldehyde,yes,yes,no,,'(15),,
99,19460,0000050-21-5,lactic acid,yes,yes,no,,,,
99,62960,0000050-21-5,lactic acid,yes,yes,no,,,,
100,24490,0000050-70-4,sorbitol,yes,yes,no,,,,
100,88320,0000050-70-4,sorbitol,yes,yes,no,,,,
101,36000,0000050-81-7,ascorbic acid,yes,no,no,,,,
102,17530,0000050-99-7,glucose,no,yes,no,,,,
103,18100,0000056-81-5,glycerol,yes,yes,no,,,,
103,55920,0000056-81-5,glycerol,yes,yes,no,,,,
104,58960,0000057-09-0,hexadecyltrimethylammonium bromide,yes,no,no,6,,,
105,22780,0000057-10-3,palmitic acid,yes,yes,no,,,,
105,70400,0000057-10-3,palmitic acid,yes,yes,no,,,,
106,24550,0000057-11-4,stearic acid,yes,yes,no,,,,
106,89040,0000057-11-4,stearic acid,yes,yes,no,,,,
107,25960,0000057-13-6,urea,no,yes,no,,,,
108,24880,0000057-50-1,sucrose,no,yes,no,,,,
109,23740,0000057-55-6,"1,2-propanediol",yes,yes,no,,,,
109,81840,0000057-55-6,"1,2-propanediol",yes,yes,no,,,,
110,93520,0000059-02-9 0010191-41-0,α-tocopherol,yes,no,no,,,,
111,53600,0000060-00-4,ethylenediaminetetraacetic acid,yes,no,no,,,,
112,64015,0000060-33-3,linoleic acid,yes,no,no,,,,
113,16780,0000064-17-5,ethanol,yes,yes,no,,,,
113,52800,0000064-17-5,ethanol,yes,yes,no,,,,
114,55040,0000064-18-6,formic acid,yes,no,no,,,,
115,10090,0000064-19-7,acetic acid,yes,yes,no,,,,
115,30000,0000064-19-7,acetic acid,yes,yes,no,,,,
116,13090,0000065-85-0,benzoic acid,yes,yes,no,,,,
116,37600,0000065-85-0,benzoic acid,yes,yes,no,,,,
117,21550,0000067-56-1,methanol,no,yes,no,,,,
118,23830,0000067-63-0,2-propanol,yes,yes,no,,,,
118,81882,0000067-63-0,2-propanol,yes,yes,no,,,,
119,30295,0000067-64-1,acetone,yes,no,no,,,,
120,49540,0000067-68-5,dimethyl sulphoxide,yes,no,no,,,,
121,24270,0000069-72-7,salicylic acid,yes,yes,no,,,,
121,84640,0000069-72-7,salicylic acid,yes,yes,no,,,,
122,23800,0000071-23-8,1-propanol,no,yes,no,,,,
123,13840,0000071-36-3,1-butanol,no,yes,no,,,,
124,22870,0000071-41-0,1-pentanol,no,yes,no,,,,
125,16950,0000074-85-1,ethylene,no,yes,no,,,,
126,10210,0000074-86-2,acetylene,no,yes,no,,,,
127,26050,0000075-01-4,vinyl chloride,no,yes,no,ND,,1 mg/kg in final product,
128,10060,0000075-07-0,acetaldehyde,no,yes,no,,'(1),,
129,17020,0000075-21-8,ethylene oxide,no,yes,no,ND,,1 mg/kg in final product,'(10)
130,26110,0000075-35-4,vinylidene chloride,no,yes,no,ND,,,'(1)
131,48460,0000075-37-6,"1,1-difluoroethane",yes,no,no,,,,
132,26140,0000075-38-7,vinylidene fluoride,no,yes,no,5,,,
133,14380,0000075-44-5,carbonyl chloride,no,yes,no,ND,,1 mg/kg in final product,'(10)
133,23155,0000075-44-5,carbonyl chloride,no,yes,no,ND,,1 mg/kg in final product,'(10)
134,43680,0000075-45-6,chlorodifluoromethane,yes,no,no,6,,Content of chlorofluoromethane less than 1 mg/kg of the substance,
135,24010,0000075-56-9,propylene oxide,no,yes,no,ND,,1 mg/kg in final product,
136,41680,0000076-22-2,camphor,yes,no,no,,,,'(3)
137,66580,0000077-62-3,"2,2′-methylenebis(4-methyl-6-(1-methylcyclohexyl)phenol)",yes,no,yes,,'(5),,
138,93760,0000077-90-7,tri-n-butyl acetyl citrate,yes,no,no,,'(32),,
139,14680,0000077-92-9,citric acid,yes,yes,no,,,,
139,44160,0000077-92-9,citric acid,yes,yes,no,,,,
140,44640,0000077-93-0,"citric acid, triethyl ester",yes,no,no,,'(32),,
141,13380,0000077-99-6,"1,1,1-trimethylolpropane",yes,yes,no,6,,,
141,25600,0000077-99-6,"1,1,1-trimethylolpropane",yes,yes,no,6,,,
141,94960,0000077-99-6,"1,1,1-trimethylolpropane",yes,yes,no,6,,,
142,26305,0000078-08-0,vinyltriethoxysilane,no,yes,no,"0,05",,Only to be used as a surface treatment agent, (1) 
143,62450,0000078-78-4,isopentane,yes,no,no,,,,
144,19243,0000078-79-5,"2-methyl-1,3-butadiene",no,yes,no,ND,,1 mg/kg in final product,
144,21640,0000078-79-5,"2-methyl-1,3-butadiene",no,yes,no,ND,,1 mg/kg in final product,
145,10630,0000079-06-1,acrylamide,no,yes,no,ND,,,
146,23890,0000079-09-4,propionic acid,yes,yes,no,,,,
146,82000,0000079-09-4,propionic acid,yes,yes,no,,,,
147,10690,0000079-10-7,acrylic acid,no,yes,no,,'(22),,
148,14650,0000079-38-9,chlorotrifluoroethylene,no,yes,no,ND,,,'(1)
149,19990,0000079-39-0,methacrylamide,no,yes,no,ND,,,
150,20020,0000079-41-4,methacrylic acid,no,yes,no,,'(23),,
151,13480,0000080-05-7,"2,2-bis(4-hydroxyphenyl)propane",no,yes,no,"0,05",,"Not to be used for the manufacture of polycarbonate infant (6) feeding bottles (7). Not to be used for the manufacture of polycarbonate drinking cups or bottles which, due to their spill proof characteristics, are intended for infants (9) and young children (10).",
151,13607,0000080-05-7,"2,2-bis(4-hydroxyphenyl)propane",no,yes,no,"0,05",,"Not to be used for the manufacture of polycarbonate infant (6) feeding bottles (7). Not to be used for the manufacture of polycarbonate drinking cups or bottles which, due to their spill proof characteristics, are intended for infants (9) and young children (10).",
152,15610,0000080-07-9,"4,4′-dichlorodiphenyl sulphone",no,yes,no,"0,05",,,
153,15267,0000080-08-0,"4,4′-diaminodiphenyl sulphone",no,yes,no,5,,,
154,13617,0000080-09-1,"4,4′-dihydroxydiphenyl sulphone",no,yes,no,"0,05",,,
154,16090,0000080-09-1,"4,4′-dihydroxydiphenyl sulphone",no,yes,no,"0,05",,,
155,23470,0000080-56-8,α-pinene,no,yes,no,,,,
156,21130,0000080-62-6,"methacrylic acid, methyl ester",no,yes,no,,'(23),,
157,74880,0000084-74-2,"phthalic acid, dibutyl ester",yes,no,no,"0,3",'(32),"Only to be used as: (a) plasticiser in repeated use materials and articles contacting non-fatty foods; (b) technical support agent in polyolefins in concentrations up to 0,05 % in the final product.",'(7)
158,23380,0000085-44-9,phthalic anhydride,yes,yes,no,,,,
158,76320,0000085-44-9,phthalic anhydride,yes,yes,no,,,,
159,74560,0000085-68-7,"phthalic acid, benzyl butyl ester",yes,no,no,30,'(32),"Only to be used as: (a) plasticiser in repeated use materials and articles; (b) plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae as defined by Directive 2006/141/EC or processed cereal-based foods and baby foods for infants and young children as defined by Directive 2006/125/EC; (c) technical support agent in concentrations up to 0,1 % in the final product.",'(7)
160,84800,0000087-18-3,"salicylic acid, 4-tert-butylphenyl ester",yes,no,yes,12,,,
161,92160,000087-69-4,L-(+)-tartaric acid,yes,no,no,,,,
162,65520,0000087-78-5,mannitol,yes,no,no,,,,
163,66400,0000088-24-4,"2,2′-methylene bis(4-ethyl-6-tert-butylphenol)",yes,no,yes,,'(13),,
164,34895,0000088-68-6,2-aminobenzamide,yes,no,no,"0,05",,Only for use in PET for water and beverages,
165,23200,0000088-99-3,o-phthalic acid,yes,yes,no,,,,
165,74480,0000088-99-3,o-phthalic acid,yes,yes,no,,,,
166,24057,0000089-32-7,pyromellitic anhydride,no,yes,no,"0,05",,,
167,25240,0000091-08-7,"2,6-toluene diisocyanate",no,yes,no,,'(17),1 mg/kg in final product expressed as isocyanate moiety,'(10)
168,13075,0000091-76-9,"2,4-diamino-6-phenyl-1,3,5-triazine",no,yes,no,5,,, (1) 
168,15310,0000091-76-9,"2,4-diamino-6-phenyl-1,3,5-triazine",no,yes,no,5,,, (1) 
169,16240,0000091-97-4,"3,3′-dimethyl-4,4′-diisocyanatobiphenyl",no,yes,no,,'(17),1 mg/kg in final product expressed as isocyanate moiety,'(10)
170,16000,0000092-88-6,"4,4′-dihydroxybiphenyl",no,yes,no,6,,,
171,38080,0000093-58-3,"benzoic acid, methyl ester",yes,no,no,,,,
172,37840,0000093-89-0,"benzoic acid, ethyl ester",yes,no,no,,,,
173,60240,0000094-13-3,"4-hydroxybenzoic acid, propyl ester",yes,no,no,,,,
174,14740,0000095-48-7,o-cresol,no,yes,no,,,,
175,20050,0000096-05-9,"methacrylic acid, allyl ester",no,yes,no,"0,05",,,
176,11710,0000096-33-3,"acrylic acid, methyl ester",no,yes,no,,'(22),,
177,16955,0000096-49-1,ethylene carbonate,no,yes,no,30,,SML expressed as ethyleneglycol. Residual content of 5 mg ethylene carbonate per kg of hydrogel with max 10 g of hydrogel in contact with 1 kg of food.,
178,92800,0000096-69-5,"4,4′-thiobis(6-tert-butyl-3-methylphenol)",yes,no,yes,"0,48",,,
179,48800,0000097-23-4,"2,2′-dihydroxy--5,5′-dichlorodiphenylmethane",yes,no,yes,12,,,
180,17160,0000097-53-0,eugenol,no,yes,no,,'(33),,
181,20890,0000097-63-2,"methacrylic acid, ethyl ester",no,yes,no,,'(23),,
182,19270,0000097-65-4,itaconic acid,no,yes,no,,,,
183,21010,0000097-86-9,"methacrylic acid, isobutyl ester",no,yes,no,,'(23),,
184,20110,0000097-88-1,"methacrylic acid, butyl ester",no,yes,no,,'(23),,
185,20440,0000097-90-5,"methacrylic acid, diester with ethyleneglycol",no,yes,no,"0,05",,,
186,14020,0000098-54-4,4-tert-butylphenol,no,yes,no,"0,05",,,
187,22210,0000098-83-9,α-methylstyrene,no,yes,no,"0,05",,,
188,19180,0000099-63-8,isophthalic acid dichloride,no,yes,no,,'(27),,
189,60200,0000099-76-3,"4-hydroxybenzoic acid, methyl ester",yes,no,no,,,,
190,18880,0000099-96-7,p-hydroxybenzoic acid,no,yes,no,,,,
191,24940,0000100-20-9,terephthalic acid dichloride,no,yes,no,,'(28),,
192,23187,,phthalic acid,no,yes,no,,'(28),,
193,24610,0000100-42-5,styrene,no,yes,no,,,,
194,13150,0000100-51-6,benzyl alcohol,no,yes,no,,,,
195,37360,0000100-52-7,benzaldehyde,yes,no,no,,,,'(3)
196,18670,0000100-97-0,hexamethylenetetramine,yes,yes,no,,'(15),,
196,59280,0000100-97-0,hexamethylenetetramine,yes,yes,no,,'(15),,
197,20260,0000101-43-9,"methacrylic acid, cyclohexyl ester",no,yes,no,"0,05",,,
198,16630,0000101-68-8,"diphenylmethane-4,4′-diisocyanate",no,yes,no,,'(17),1 mg/kg in final product expressed as isocyanate moiety,'(10)
199,24073,0000101-90-6,resorcinol diglycidyl ether,no,yes,no,ND,,"Not to be used for articles in contact with fatty foods for which simulant D1 and/or D2 is laid down. For indirect food contact only, behind a PET layer.",'(8)
200,51680,0000102-08-9,"N,N′-diphenylthiourea",yes,no,yes,3,,,
201,16540,0000102-09-0,diphenyl carbonate,no,yes,no,"0,05",,,
202,23070,0000102-39-6,"(1,3-phenylenedioxy)diacetic acid",no,yes,no,"0,05",,, (1) 
203,13323,0000102-40-9,"1,3-bis(2-hydroxyethoxy)benzene",no,yes,no,"0,05",,,
204,25180,0000102-60-3,"N,N,N′,N′-tetrakis(2-hydroxypropyl)ethylenediamine",yes,yes,no,,,,
204,92640,0000102-60-3,"N,N,N′,N′-tetrakis(2-hydroxypropyl)ethylenediamine",yes,yes,no,,,,
205,25385,0000102-70-5,triallylamine,no,yes,no,,,"40 mg/kg hydrogel at a ratio of 1 kg food to a maximum of 1,5 grams of hydrogel. Only to be used in hydrogels intended for non-direct food contact use.",
206,11500,0000103-11-7,"acrylic acid, 2-ethylhexyl ester",no,yes,no,"0,05",,,
207,31920,0000103-23-1,"adipic acid, bis(2-ethylhexyl) ester",yes,no,yes,18,'(32),,'(2)
208,18898,0000103-90-2,N-(4-hydroxyphenyl) acetamide,no,yes,no,"0,05",,,
209,17050,0000104-76-7,2-ethyl-1-hexanol,no,yes,no,30,,,
210,13390,0000105-08-8,"1,4-bis(hydroxymethyl)cyclohexane",no,yes,no,,,,
210,14880,0000105-08-8,"1,4-bis(hydroxymethyl)cyclohexane",no,yes,no,,,,
211,23920,0000105-38-4,"propionic acid, vinyl ester",no,yes,no,,'(1),,
212,14200,0000105-60-2,caprolactam,yes,yes,no,,'(4),,
212,41840,0000105-60-2,caprolactam,yes,yes,no,,'(4),,
213,82400,0000105-62-4,"1,2-propyleneglycol dioleate",yes,no,no,,,,
214,61840,0000106-14-9,12-hydroxystearic acid,yes,no,no,,,,
215,14170,0000106-31-0,butyric anhydride,no,yes,no,,,,
216,14770,0000106-44-5,p-cresol,no,yes,no,,,,
217,15565,0000106-46-7,"1,4-dichlorobenzene",no,yes,no,12,,,
218,11590,0000106-63-8,"acrylic acid, isobutyl ester",no,yes,no,,'(22),,
219,14570,0000106-89-8,epichlorohydrin,no,yes,no,ND,,1 mg/kg in final product,'(10)
219,16750,0000106-89-8,epichlorohydrin,no,yes,no,ND,,1 mg/kg in final product,'(10)
220,20590,0000106-91-2,"methacrylic acid, 2,3-epoxypropyl ester",no,yes,no,"0,02",,,'(10)
221,40570,0000106-97-8,butane,yes,no,no,,,,
222,13870,0000106-98-9,1-butene,no,yes,no,,,,
223,13630,0000106-99-0,butadiene,no,yes,no,ND,,1 mg/kg in final product,
224,13900,0000107-01-7,2-butene,no,yes,no,,,,
225,12100,0000107-13-1,acrylonitrile,no,yes,no,ND,,,
226,15272,0000107-15-3,ethylenediamine,no,yes,no,12,,,
226,16960,0000107-15-3,ethylenediamine,no,yes,no,12,,,
227,16990,0000107-21-1,ethyleneglycol,yes,yes,no,,'(2),,
227,53650,0000107-21-1,ethyleneglycol,yes,yes,no,,'(2),,
228,13690,0000107-88-0,"1,3-butanediol",no,yes,no,,,,
229,14140,0000107-92-6,butyric acid,no,yes,no,,,,
230,16150,0000108-01-0,dimethylaminoethanol,no,yes,no,18,,,
231,10120,0000108-05-4,"acetic acid, vinyl ester",no,yes,no,12,,,
232,10150,0000108-24-7,acetic anhydride,yes,yes,no,,,,
232,30280,0000108-24-7,acetic anhydride,yes,yes,no,,,,
233,24850,0000108-30-5,succinic anhydride,no,yes,no,,,,
234,19960,0000108-31-6,maleic anhydride,no,yes,no,,'(3),,
235,14710,0000108-39-4,m-cresol,no,yes,no,,,,
236,23050,0000108-45-2,"1,3-phenylenediamine",no,yes,no,ND,,,
237,15910,0000108-46-3,"1,3-dihydroxybenzene",no,yes,no,"2,4",,,
237,24072,0000108-46-3,"1,3-dihydroxybenzene",no,yes,no,"2,4",,,
238,18070,0000108-55-4,glutaric anhydride,no,yes,no,,,,
239,19975,0000108-78-1,"2,4,6-triamino-1,3,5-triazine",yes,yes,no,"2,5",,,
239,25420,0000108-78-1,"2,4,6-triamino-1,3,5-triazine",yes,yes,no,"2,5",,,
239,93720,0000108-78-1,"2,4,6-triamino-1,3,5-triazine",yes,yes,no,"2,5",,,
240,45760,0000108-91-8,cyclohexylamine,yes,no,no,,,,
241,22960,0000108-95-2,phenol,no,yes,no,3,,,
242,85360,0000109-43-3,"sebacic acid, dibutyl ester",yes,no,no,,'(32),,
243,19060,0000109-53-5,isobutyl vinyl ether,no,yes,no,"0,05",,,'(10)
244,71720,0000109-66-0,pentane,yes,no,no,,,,
245,22900,0000109-67-1,1-pentene,no,yes,no,5,,,
246,25150,0000109-99-9,tetrahydrofuran,no,yes,no,"0,6",,,
247,24820,0000110-15-6,succinic acid,yes,yes,no,,,,
247,90960,0000110-15-6,succinic acid,yes,yes,no,,,,
248,19540,0000110-16-7,maleic acid,yes,yes,no,,'(3),,
248,64800,0000110-16-7,maleic acid,yes,yes,no,,'(3),,
249,17290,0000110-17-8,fumaric acid,yes,yes,no,,,,
249,55120,0000110-17-8,fumaric acid,yes,yes,no,,,,
250,53520,0000110-30-5,"N,N′-ethylenebisstearamide",yes,no,no,,,,
251,53360,0000110-31-6,"N,N′-ethylenebisoleamide",yes,no,no,,,,
252,87200,0000110-44-1,sorbic acid,yes,no,no,,,,
253,15250,0000110-60-1,"1,4-diaminobutane",no,yes,no,,,,
254,13720,0000110-63-4,"1,4-butanediol",yes,yes,no,,'(30),,
254,40580,0000110-63-4,"1,4-butanediol",yes,yes,no,,'(30),,
255,25900,0000110-88-3,trioxane,no,yes,no,5,,,
256,18010,0000110-94-1,glutaric acid,yes,yes,no,,,,
256,55680,0000110-94-1,glutaric acid,yes,yes,no,,,,
257,13550,0000110-98-5,dipropyleneglycol,yes,yes,no,,,,
