Reference number,Description of food,Ethanol 10 % (v/v),Acetic acid 3 % (w/v),Ethanol 20 % (v/v),Ethanol 50 % (v/v),Any vegetable oil containing less than 1 % unsaponifiable matter,"poly(2,6-diphenyl-p-phenylene oxide), particle size 60-80 mesh, pore size 200 nm"
07.01,Milk,,,,,,
,"A.  Milk and milk based drinks whole, partly dried and skimmed or partly skimmed",,,,X,,
,B.  Milk powder including infant formula (based on whole milk powder),,,,,,X
07.02,"Fermented milk such as yoghurt, buttermilk and similar products",,X(*),,X,,
07.03,Cream and sour cream,,X(*),,X,,
07.04,Cheeses:,,,,,,
,"A.  Whole, with not edible rind",,,,,,X
,"B.  Natural cheese without rind or with edible rind (gouda, camembert, and the like) and melting cheese",,,,,X/3(**),
,"C.  Processed cheese (soft cheese, cottage cheese and similar)",,X(*),,X,,
,D.  Preserved cheese:,,,,,,
,I.  In an oily medium,X,,,,X,
,"II.  In an aqueous medium (feta, mozarella, and similar)",,X(*),,X,,
08,Miscellaneous products,,,,,,
08.01,Vinegar,,X,,,,
08.02,Fried or roasted foods:,,,,,,
,"A.  Fried potatoes, fritters and the like",X,,,,X/5,
,B.  Of animal origin,X,,,,X/4,
08.03,"Preparations for soups, broths, sauces, in liquid, solid or powder form (extracts, concentrates); homogenised composite food preparations, prepared dishes including yeast and raising agents",,,,,,
,A.  Powdered or dried:,,,,,,
,I.  With fatty character,,,,,X/5,
,II.  Other,,,,,,X
,B.  any other form than powdered or dried:,,,,,,
,I.  With fatty character,X,X(*),,,X/3,
,II.  Other,,X(*),X,,,
08.04,Sauces:,,,,,,
,A.  With aqueous character,,X(*),X,,,
,"B.  With fatty character e.g. mayonnaise, sauces derived from mayonnaise, salad creams and other oil/water mixtures e.g. coconut based sauces",X,X(*),,,X,
08.05,Mustard (except powdered mustard under heading 08.14),X,X(*),,,X/3(**),
08.06,"Sandwiches, toasted bread pizza and the like containing any kind of foodstuff",,,,,,
,A.  With fatty substances on the surface,X,,,,X/5,
,B.  Other,,,,,,X
08.07,Ice-creams,,,X,,,
08.08,Dried foods:,,,,,,
,A.  With fatty substances on the surface,,,,,X/5,
,B.  Other,,,,,,X
08.09,Frozen or deep-frozen foods,,,,,,X
08.10,Concentrated extracts of an alcoholic strength equal to or exceeding 6 % vol.,,X(*),,X,,
08.11,Cocoa:,,,,,,
,"A.  Cocoa powder, including fat-reduced and highly fat reduced",,,,,,X
,B.  Cocoa paste,,,,,X/3,
08.12,"Coffee, whether or not roasted, decaffeinated or soluble, coffee substitutes, granulated or powdered",,,,,,X
08.13,"Aromatic herbs and other herbs such as camomile, mallow, mint, tea, lime blossom and others",,,,,,X
08.14,"Spices and seasonings in the natural state such as cinnamon, cloves, powdered mustard, pepper, vanilla, saffron, salt and other",,,,,,X
08.15,"Spices and seasoning in oily medium such as pesto, curry paste",,,,,X,
